goos: darwin
goarch: arm64
pkg: luabench
cpu: Apple M1 Pro
BenchmarkStandard/json/luart-10               	     100	  10653891 ns/op	 1259404 B/op	   11602 allocs/op
BenchmarkStandard/json/luart-10               	     100	  10644785 ns/op	 1257919 B/op	   11601 allocs/op
BenchmarkStandard/json/luart-jit-10           	     189	   6265772 ns/op	 1263067 B/op	   11608 allocs/op
BenchmarkStandard/json/luart-jit-10           	     186	   6380454 ns/op	 1262419 B/op	   11608 allocs/op
BenchmarkStandard/json/luart-jit-10           	     178	   6536683 ns/op	 1265437 B/op	   11609 allocs/op
BenchmarkStandard/json/luart-jit-10           	     188	   6335034 ns/op	 1262795 B/op	   11608 allocs/op
BenchmarkStandard/json/luart-jit-10           	     189	   6286069 ns/op	 1263070 B/op	   11608 allocs/op
BenchmarkStandard/json/luart-jit-10           	     188	   6322736 ns/op	 1263369 B/op	   11608 allocs/op
BenchmarkStandard/json/shopify-10             	      43	  28140099 ns/op	 7483405 B/op	  238110 allocs/op
BenchmarkStandard/json/shopify-10             	      43	  27686245 ns/op	 7483402 B/op	  238110 allocs/op
BenchmarkStandard/json/shopify-10             	      43	  27635725 ns/op	 7483396 B/op	  238110 allocs/op
BenchmarkStandard/json/shopify-10             	      43	  27758764 ns/op	 7483400 B/op	  238110 allocs/op
BenchmarkStandard/json/shopify-10             	      42	  27593312 ns/op	 7483412 B/op	  238110 allocs/op
BenchmarkStandard/json/shopify-10             	      43	  27671672 ns/op	 7483425 B/op	  238110 allocs/op
BenchmarkStandard/list/luart-10               	    1801	    673685 ns/op	    7453 B/op	      62 allocs/op
BenchmarkStandard/list/luart-10               	    1808	    670038 ns/op	    7453 B/op	      62 allocs/op
BenchmarkStandard/list/luart-10               	    1801	    668252 ns/op	    7453 B/op	      62 allocs/op
BenchmarkStandard/list/luart-10               	    1821	    657730 ns/op	    7453 B/op	      62 allocs/op
BenchmarkStandard/list/luart-10               	    1822	    667470 ns/op	    7453 B/op	      62 allocs/op
BenchmarkStandard/list/luart-10               	    1822	    663087 ns/op	    7453 B/op	      62 allocs/op
BenchmarkStandard/list/luart-jit-10           	    4129	    291180 ns/op	    7533 B/op	      62 allocs/op
BenchmarkStandard/list/luart-jit-10           	    4136	    287244 ns/op	    7533 B/op	      62 allocs/op
