goos: linux
goarch: amd64
pkg: luabench
cpu: AMD Ryzen 9 9900X3D 12-Core Processor          
BenchmarkStandard/deltablue/apogee-jit-6    	      57	  20515806 ns/op	10177733 B/op	   88548 allocs/op
BenchmarkStandard/deltablue/apogee-jit-6    	      58	  20405586 ns/op	10165917 B/op	   88545 allocs/op
BenchmarkStandard/deltablue/apogee-jit-6    	      57	  20536152 ns/op	10162718 B/op	   88546 allocs/op
BenchmarkStandard/deltablue/apogee-jit-6    	      57	  20436289 ns/op	10164772 B/op	   88546 allocs/op
BenchmarkStandard/deltablue/apogee-jit-6    	      57	  20592942 ns/op	10160558 B/op	   88546 allocs/op
BenchmarkStandard/deltablue/shopify-6       	       1	1409415546 ns/op	33561720 B/op	 1173630 allocs/op
BenchmarkStandard/deltablue/shopify-6       	       1	1454796190 ns/op	33561720 B/op	 1173630 allocs/op
BenchmarkStandard/deltablue/shopify-6       	       1	1407668345 ns/op	33561848 B/op	 1173631 allocs/op
BenchmarkStandard/deltablue/shopify-6       	       1	1688507348 ns/op	33561720 B/op	 1173630 allocs/op
BenchmarkStandard/deltablue/shopify-6       	       1	1342989955 ns/op	33561704 B/op	 1173630 allocs/op
BenchmarkStandard/deltablue/shopify-6       	       1	1325268124 ns/op	33561936 B/op	 1173633 allocs/op
BenchmarkStandard/havlak/apogee-6           	       1	2118300315 ns/op	1520066904 B/op	13924540 allocs/op
BenchmarkStandard/havlak/apogee-6           	       1	2107991726 ns/op	1510130864 B/op	13923460 allocs/op
BenchmarkStandard/havlak/apogee-6           	       1	2116881566 ns/op	1519771264 B/op	13924504 allocs/op
BenchmarkStandard/havlak/apogee-6           	       1	2121116408 ns/op	1519993144 B/op	13924537 allocs/op
BenchmarkStandard/havlak/apogee-6           	       1	2119331416 ns/op	1515339904 B/op	13924024 allocs/op
BenchmarkStandard/havlak/apogee-6           	       1	2121234852 ns/op	1510534760 B/op	13923505 allocs/op
BenchmarkStandard/havlak/apogee-jit-6       	       1	1736130458 ns/op	1520528584 B/op	13928169 allocs/op
BenchmarkStandard/havlak/apogee-jit-6       	       1	1752923069 ns/op	1520528600 B/op	13928165 allocs/op
BenchmarkStandard/havlak/apogee-jit-6       	       1	1748722301 ns/op	1515798968 B/op	13927643 allocs/op
BenchmarkStandard/havlak/apogee-jit-6       	       1	1713888786 ns/op	1520528144 B/op	13928159 allocs/op
BenchmarkStandard/havlak/apogee-jit-6       	       1	1723424159 ns/op	1518386960 B/op	13927945 allocs/op
BenchmarkStandard/havlak/apogee-jit-6       	       1	1753283851 ns/op	1520529032 B/op	13928173 allocs/op
BenchmarkStandard/json/apogee-6             	     154	   7697318 ns/op	 1252548 B/op	   11598 allocs/op
BenchmarkStandard/json/apogee-6             	     156	   7640407 ns/op	 1253108 B/op	   11598 allocs/op
BenchmarkStandard/json/apogee-6             	     157	   7637305 ns/op	 1253038 B/op	   11598 allocs/op
BenchmarkStandard/json/apogee-6             	     156	   7641223 ns/op	 1253112 B/op	   11598 allocs/op
BenchmarkStandard/json/apogee-6             	     156	   7646162 ns/op	 1253109 B/op	   11598 allocs/op
BenchmarkStandard/json/apogee-6             	     156	   7653202 ns/op	 1253092 B/op	   11598 allocs/op
BenchmarkStandard/json/apogee-jit-6         	     274	   4328498 ns/op	 1257361 B/op	   11603 allocs/op
BenchmarkStandard/json/apogee-jit-6         	     274	   4350803 ns/op	 1256952 B/op	   11603 allocs/op
BenchmarkStandard/json/apogee-jit-6         	     258	   4608153 ns/op	 1257936 B/op	   11604 allocs/op
BenchmarkStandard/json/apogee-jit-6         	     276	   4333574 ns/op	 1257112 B/op	   11603 allocs/op
BenchmarkStandard/json/apogee-jit-6         	     270	   4420919 ns/op	 1259277 B/op	   11604 allocs/op
BenchmarkStandard/json/apogee-jit-6         	     264	   4504519 ns/op	 1257982 B/op	   11603 allocs/op
BenchmarkStandard/json/shopify-6            	      58	  20131884 ns/op	 7482845 B/op	  238109 allocs/op
BenchmarkStandard/json/shopify-6            	      60	  20078789 ns/op	 7482844 B/op	  238109 allocs/op
BenchmarkStandard/json/shopify-6            	      58	  20209588 ns/op	 7482850 B/op	  238109 allocs/op
BenchmarkStandard/json/shopify-6            	      60	  20150451 ns/op	 7482838 B/op	  238109 allocs/op
BenchmarkStandard/json/shopify-6            	      57	  20253775 ns/op	 7482878 B/op	  238110 allocs/op
BenchmarkStandard/json/shopify-6            	      60	  20111058 ns/op	 7482863 B/op	  238110 allocs/op
BenchmarkStandard/list/apogee-6             	    2587	    460148 ns/op	    7449 B/op	      62 allocs/op
BenchmarkStandard/list/apogee-6             	    2583	    456632 ns/op	    7449 B/op	      62 allocs/op
BenchmarkStandard/list/apogee-6             	    2595	    456801 ns/op	    7449 B/op	      62 allocs/op
BenchmarkStandard/list/apogee-6             	    2632	    458731 ns/op	    7449 B/op	      62 allocs/op
BenchmarkStandard/list/apogee-6             	    2558	    461071 ns/op	    7449 B/op	      62 allocs/op
BenchmarkStandard/list/apogee-6             	    2629	    457328 ns/op	    7449 B/op	      62 allocs/op
BenchmarkStandard/list/apogee-jit-6         	    6927	    169260 ns/op	    7504 B/op	      62 allocs/op
BenchmarkStandard/list/apogee-jit-6         	    7023	    169155 ns/op	    7503 B/op	      62 allocs/op
BenchmarkStandard/list/apogee-jit-6         	    6818	    173480 ns/op	    7505 B/op	      62 allocs/op
BenchmarkStandard/list/apogee-jit-6         	    6910	    169399 ns/op	    7504 B/op	      62 allocs/op
BenchmarkStandard/list/apogee-jit-6         	    6996	    169927 ns/op	    7503 B/op	      62 allocs/op
BenchmarkStandard/list/apogee-jit-6         	    6916	    169427 ns/op	    7504 B/op	      62 allocs/op
BenchmarkStandard/list/shopify-6            	    1082	   1081623 ns/op	   31628 B/op	     381 allocs/op
BenchmarkStandard/list/shopify-6            	    1125	   1066866 ns/op	   31628 B/op	     381 allocs/op
